time,lon,lat,rcp26_r10mm_p10,rcp26_r10mm_p50,rcp26_r10mm_p90,rcp45_r10mm_p10,rcp45_r10mm_p50,rcp45_r10mm_p90,rcp85_r10mm_p10,rcp85_r10mm_p50,rcp85_r10mm_p90
1950-01-01,-124.29,53.37,2.30,4.00,7.00,2.30,4.50,6.70,2.30,4.00,6.70
1951-01-01,-124.29,53.37,0.30,3.00,6.00,1.00,3.50,6.00,1.00,3.00,6.00
1952-01-01,-124.29,53.37,2.00,3.00,6.70,2.00,3.00,6.70,2.00,3.00,6.70
1953-01-01,-124.29,53.37,2.00,4.00,6.70,2.00,4.00,6.70,2.00,4.00,7.00
1954-01-01,-124.29,53.37,1.30,3.00,6.00,1.30,3.00,6.00,1.30,3.00,6.70
1955-01-01,-124.29,53.37,2.00,4.00,7.00,2.00,4.50,7.00,2.00,4.50,7.00
1956-01-01,-124.29,53.37,1.30,3.50,4.70,1.30,3.00,4.00,1.30,3.00,4.00
1957-01-01,-124.29,53.37,2.00,4.00,6.00,2.00,4.00,6.00,2.00,4.00,6.00
1958-01-01,-124.29,53.37,2.00,4.50,7.70,2.00,4.00,7.70,2.00,4.00,7.70
1959-01-01,-124.29,53.37,2.00,4.00,6.70,2.00,4.00,6.70,2.00,4.00,7.00
1960-01-01,-124.29,53.37,1.30,4.00,7.70,1.30,4.00,7.70,1.30,4.00,7.70
1961-01-01,-124.29,53.37,2.00,3.50,6.70,2.00,4.00,6.70,2.00,4.00,6.70
1962-01-01,-124.29,53.37,1.30,4.00,6.00,1.00,4.00,6.00,1.00,4.00,6.00
1963-01-01,-124.29,53.37,2.00,4.00,6.70,2.00,4.00,6.70,2.00,4.00,6.70
1964-01-01,-124.29,53.37,1.00,3.00,5.40,1.00,3.00,4.00,1.00,3.00,4.00
1965-01-01,-124.29,53.37,1.00,3.00,6.70,1.30,3.00,7.00,1.30,3.00,7.00
1966-01-01,-124.29,53.37,1.00,3.50,6.70,1.00,3.00,6.70,1.00,3.00,6.70
1967-01-01,-124.29,53.37,1.30,4.00,6.40,1.30,4.00,5.70,1.30,4.00,6.40
1968-01-01,-124.29,53.37,1.30,4.00,6.70,1.30,4.00,6.00,1.30,4.00,6.70
1969-01-01,-124.29,53.37,2.00,3.00,7.00,2.00,3.50,7.00,2.00,3.00,7.00
1970-01-01,-124.29,53.37,1.00,4.00,7.40,1.00,4.00,7.40,1.00,3.50,7.40
1971-01-01,-124.29,53.37,2.00,3.50,6.00,2.00,3.50,6.00,2.00,3.50,6.00
1972-01-01,-124.29,53.37,2.00,3.00,6.00,2.00,3.00,6.00,2.00,3.50,6.00
1973-01-01,-124.29,53.37,1.30,4.00,7.00,1.30,4.00,7.00,1.30,4.00,7.00
1974-01-01,-124.29,53.37,0.30,3.50,9.40,1.00,3.00,9.10,1.00,3.00,9.10
1975-01-01,-124.29,53.37,1.00,4.00,7.00,1.00,4.00,7.00,1.00,4.00,7.00
1976-01-01,-124.29,53.37,1.30,3.00,6.00,1.30,3.00,6.00,1.30,3.00,6.00
1977-01-01,-124.29,53.37,1.30,4.00,7.00,1.30,4.00,7.00,1.30,4.00,7.00
1978-01-01,-124.29,53.37,1.30,5.00,8.00,1.30,5.00,7.70,1.30,5.00,7.70
1979-01-01,-124.29,53.37,0.60,5.00,8.40,0.30,4.50,8.40,0.30,4.50,8.40
1980-01-01,-124.29,53.37,1.00,3.50,6.00,1.30,3.50,6.00,1.00,4.00,6.00
1981-01-01,-124.29,53.37,1.00,4.00,7.70,1.00,4.00,7.40,1.00,4.00,7.70
1982-01-01,-124.29,53.37,2.00,4.00,6.00,2.00,4.00,6.00,2.00,4.00,6.00
1983-01-01,-124.29,53.37,1.30,4.00,7.00,1.30,4.00,7.00,1.30,4.00,7.00
1984-01-01,-124.29,53.37,1.30,3.50,5.70,2.00,4.00,5.70,2.00,4.00,5.70
1985-01-01,-124.29,53.37,2.00,4.00,7.00,2.00,3.50,7.70,2.00,3.50,7.00
1986-01-01,-124.29,53.37,1.00,3.50,6.00,1.30,3.50,6.70,2.00,3.50,6.70
1987-01-01,-124.29,53.37,1.30,4.00,6.70,2.00,4.00,7.00,2.00,3.50,6.70
1988-01-01,-124.29,53.37,1.00,3.50,8.40,1.00,3.00,7.70,1.00,3.00,7.00
1989-01-01,-124.29,53.37,2.00,4.50,8.00,2.00,3.50,7.70,2.00,4.50,8.00
1990-01-01,-124.29,53.37,1.00,4.00,7.70,1.30,4.00,7.70,1.30,4.00,7.70
1991-01-01,-124.29,53.37,2.00,4.00,7.40,2.00,4.00,7.00,2.00,4.00,6.70
1992-01-01,-124.29,53.37,2.00,4.00,7.00,2.00,4.00,7.70,2.00,4.00,7.70
1993-01-01,-124.29,53.37,1.30,3.00,5.00,1.30,3.00,5.00,1.30,3.00,5.00
1994-01-01,-124.29,53.37,1.30,4.00,6.00,1.30,4.00,6.70,1.30,4.00,6.00
1995-01-01,-124.29,53.37,1.00,3.50,8.00,1.00,3.00,8.00,1.00,3.50,8.70
1996-01-01,-124.29,53.37,1.00,3.00,7.00,1.00,3.00,7.00,1.00,3.00,7.00
1997-01-01,-124.29,53.37,1.00,4.00,6.00,1.30,4.00,6.70,1.30,4.00,6.00
1998-01-01,-124.29,53.37,2.30,4.50,6.00,2.00,4.00,6.00,2.30,4.00,6.00
1999-01-01,-124.29,53.37,1.30,4.00,6.70,2.00,4.00,6.70,2.00,4.00,7.00
2000-01-01,-124.29,53.37,1.00,3.00,6.00,1.00,3.00,6.00,1.00,3.00,6.00
2001-01-01,-124.29,53.37,2.00,3.00,8.00,2.00,3.00,8.00,1.30,3.00,8.00
2002-01-01,-124.29,53.37,0.60,3.50,6.00,1.30,4.00,5.70,1.30,4.00,6.70
2003-01-01,-124.29,53.37,2.30,4.00,7.40,3.00,4.00,7.70,3.00,4.00,7.70
2004-01-01,-124.29,53.37,0.30,3.50,6.70,0.00,3.50,6.00,0.00,3.00,6.00
2005-01-01,-124.29,53.37,3.00,5.00,8.70,2.30,5.00,9.00,2.30,5.00,8.70
2006-01-01,-124.29,53.37,1.00,3.00,6.70,2.00,4.50,7.00,2.00,4.50,9.00
2007-01-01,-124.29,53.37,1.60,5.00,8.40,1.00,4.50,7.70,2.00,4.50,9.70
2008-01-01,-124.29,53.37,2.00,5.00,8.70,1.00,4.00,7.70,2.00,4.00,7.70
2009-01-01,-124.29,53.37,2.30,5.00,8.70,2.30,5.00,7.70,1.30,4.00,6.00
2010-01-01,-124.29,53.37,1.00,4.00,7.70,2.00,4.00,7.70,2.30,4.50,7.00
2011-01-01,-124.29,53.37,2.00,4.00,6.70,1.30,5.00,8.40,2.00,4.00,7.00
2012-01-01,-124.29,53.37,2.30,5.00,7.00,2.30,4.00,6.70,2.00,4.50,7.40
2013-01-01,-124.29,53.37,2.00,4.00,6.40,1.00,4.00,8.00,1.30,4.00,8.00
2014-01-01,-124.29,53.37,1.30,5.00,7.00,1.30,5.00,8.00,2.00,4.00,6.00
2015-01-01,-124.29,53.37,3.00,4.00,7.00,3.00,5.50,9.00,2.00,4.00,8.00
2016-01-01,-124.29,53.37,2.00,4.00,8.00,1.00,4.00,5.70,2.30,4.00,8.40
2017-01-01,-124.29,53.37,1.00,3.50,8.00,2.00,4.00,7.00,2.30,5.00,8.40
2018-01-01,-124.29,53.37,3.00,5.00,7.00,2.00,4.50,8.40,2.00,5.00,7.00
2019-01-01,-124.29,53.37,1.30,4.00,7.70,2.00,4.00,9.40,2.00,4.00,7.70
2020-01-01,-124.29,53.37,3.00,5.00,9.40,2.30,5.00,9.00,1.00,4.50,7.70
2021-01-01,-124.29,53.37,2.00,4.00,7.00,2.30,4.00,6.70,3.00,5.00,7.40
2022-01-01,-124.29,53.37,2.30,5.50,8.70,2.00,4.00,7.00,2.00,4.00,7.70
2023-01-01,-124.29,53.37,2.00,4.00,7.70,2.00,4.00,10.50,2.00,4.00,7.70
2024-01-01,-124.29,53.37,3.00,6.00,9.00,3.00,4.00,7.70,1.30,5.00,8.00
2025-01-01,-124.29,53.37,2.30,5.00,9.00,3.00,4.00,8.00,1.30,5.00,9.00
2026-01-01,-124.29,53.37,2.30,5.00,8.40,2.30,5.00,9.00,2.00,4.50,8.70
2027-01-01,-124.29,53.37,1.30,3.00,7.00,1.00,4.00,6.70,2.00,4.00,6.70
2028-01-01,-124.29,53.37,2.30,4.50,7.00,3.00,5.00,7.00,2.00,6.00,7.00
2029-01-01,-124.29,53.37,2.00,4.50,8.40,3.00,5.00,8.00,3.00,4.00,7.70
2030-01-01,-124.29,53.37,3.00,5.00,10.00,3.30,5.00,8.00,1.00,4.00,6.00
2031-01-01,-124.29,53.37,3.30,5.00,8.00,2.00,4.50,8.70,2.30,4.50,7.00
2032-01-01,-124.29,53.37,3.00,5.00,8.70,4.00,5.00,7.00,3.00,6.00,8.00
2033-01-01,-124.29,53.37,2.30,5.00,9.10,2.30,5.00,8.70,2.30,6.00,8.00
2034-01-01,-124.29,53.37,2.30,5.00,8.00,2.00,4.00,7.00,3.00,5.50,9.70
2035-01-01,-124.29,53.37,1.00,4.50,6.70,3.00,5.50,8.70,2.30,5.00,7.00
2036-01-01,-124.29,53.37,2.00,4.00,6.70,2.00,5.00,8.00,2.00,5.50,8.40
2037-01-01,-124.29,53.37,3.00,5.00,8.70,2.00,5.00,8.70,3.00,5.00,9.70
2038-01-01,-124.29,53.37,2.30,6.00,8.70,1.00,3.00,8.70,3.00,5.00,8.70
2039-01-01,-124.29,53.37,2.30,5.00,8.00,2.30,5.50,9.70,2.30,4.00,9.70
2040-01-01,-124.29,53.37,3.00,5.00,10.70,2.00,5.00,8.00,2.00,5.00,10.00
2041-01-01,-124.29,53.37,1.30,3.50,8.70,4.00,5.00,10.40,2.30,4.50,7.00
2042-01-01,-124.29,53.37,2.00,5.00,9.70,3.00,5.00,6.70,2.30,5.00,7.70
2043-01-01,-124.29,53.37,2.00,4.00,9.00,2.00,4.00,7.00,3.30,5.00,8.00
2044-01-01,-124.29,53.37,2.30,6.00,7.70,1.00,3.50,7.70,2.00,4.00,7.00
2045-01-01,-124.29,53.37,1.30,5.00,9.70,3.00,4.00,8.00,1.60,5.00,8.70
2046-01-01,-124.29,53.37,2.00,5.00,9.70,1.00,5.50,10.40,3.30,6.00,8.70
2047-01-01,-124.29,53.37,2.00,5.00,8.00,2.30,4.50,8.00,2.00,4.50,7.70
2048-01-01,-124.29,53.37,3.30,6.00,9.00,2.00,6.00,9.70,3.00,6.00,9.00
2049-01-01,-124.29,53.37,2.00,5.00,8.00,2.30,5.00,7.70,2.30,4.00,7.00
2050-01-01,-124.29,53.37,2.30,4.50,8.70,2.30,5.00,8.40,3.00,6.50,9.40
2051-01-01,-124.29,53.37,3.00,5.50,9.40,1.30,5.00,9.40,3.00,6.50,10.00
2052-01-01,-124.29,53.37,2.00,6.00,8.00,2.30,6.00,8.00,1.30,6.00,8.00
2053-01-01,-124.29,53.37,1.00,5.00,9.40,2.00,6.00,8.70,2.00,5.50,8.70
2054-01-01,-124.29,53.37,2.00,5.00,7.70,4.00,6.00,8.70,3.30,6.00,9.00
2055-01-01,-124.29,53.37,2.30,5.50,11.00,3.00,5.50,9.00,3.00,6.00,10.40
2056-01-01,-124.29,53.37,3.30,5.50,7.70,2.00,5.00,9.70,1.30,4.50,8.00
2057-01-01,-124.29,53.37,2.30,5.50,9.00,2.30,5.50,8.00,1.60,6.00,9.70
2058-01-01,-124.29,53.37,3.00,5.00,6.70,2.00,6.00,9.40,4.00,7.00,11.00
2059-01-01,-124.29,53.37,3.00,5.00,9.00,3.00,5.00,8.00,3.30,5.00,8.70
2060-01-01,-124.29,53.37,2.00,5.00,7.70,2.30,4.00,10.40,3.00,5.00,8.70
2061-01-01,-124.29,53.37,2.00,4.00,7.70,2.60,5.50,8.00,2.30,6.50,9.00
2062-01-01,-124.29,53.37,2.00,5.00,9.00,1.60,6.00,8.70,4.00,6.00,9.40
2063-01-01,-124.29,53.37,1.30,5.50,9.00,2.00,5.00,8.00,5.00,7.00,11.40
2064-01-01,-124.29,53.37,4.00,5.00,9.00,4.00,7.00,9.00,4.00,6.00,11.40
2065-01-01,-124.29,53.37,2.30,4.50,7.00,3.00,4.50,8.00,2.30,6.00,9.70
2066-01-01,-124.29,53.37,2.30,5.00,8.70,3.00,6.00,8.00,2.60,7.00,10.40
2067-01-01,-124.29,53.37,1.30,5.00,8.00,2.00,5.00,8.00,4.00,6.00,8.70
2068-01-01,-124.29,53.37,3.00,5.50,9.00,2.30,6.50,9.00,4.00,7.00,11.70
2069-01-01,-124.29,53.37,2.00,5.00,8.00,2.30,5.00,9.70,4.00,7.00,10.00
2070-01-01,-124.29,53.37,2.00,6.00,8.70,2.00,5.00,8.70,3.00,6.00,10.70
2071-01-01,-124.29,53.37,2.30,5.00,10.00,3.00,5.00,9.00,3.00,6.50,11.00
2072-01-01,-124.29,53.37,2.00,5.00,8.00,3.00,5.00,8.70,4.30,6.00,10.40
