time,lat,lon,rcp26_gddgrow_5_p10,rcp26_gddgrow_5_p50,rcp26_gddgrow_5_p90,rcp45_gddgrow_5_p10,rcp45_gddgrow_5_p50,rcp45_gddgrow_5_p90,rcp85_gddgrow_5_p10,rcp85_gddgrow_5_p50,rcp85_gddgrow_5_p90
1950-01-01,54.71,-104.29,1035.52,1186.56,1315.80,1035.52,1188.43,1315.81,1035.52,1189.00,1315.80
1951-01-01,54.71,-104.29,970.72,1150.01,1364.92,970.72,1149.36,1364.92,954.91,1149.24,1364.92
1952-01-01,54.71,-104.29,970.65,1174.35,1420.91,970.65,1174.48,1421.11,970.64,1174.25,1421.18
1953-01-01,54.71,-104.29,906.86,1110.10,1260.57,906.03,1110.10,1260.57,906.65,1110.10,1253.74
1954-01-01,54.71,-104.29,1009.66,1152.84,1391.13,1009.83,1152.74,1391.13,1010.04,1152.18,1380.82
1955-01-01,54.71,-104.29,1022.25,1137.54,1357.29,1021.98,1137.54,1357.29,1022.49,1137.54,1349.55
1956-01-01,54.71,-104.29,897.53,1155.04,1344.21,897.53,1155.04,1344.64,897.53,1154.96,1344.04
1957-01-01,54.71,-104.29,972.72,1139.46,1298.40,972.51,1138.44,1298.40,965.05,1140.09,1298.40
1958-01-01,54.71,-104.29,1039.43,1111.92,1266.08,1039.43,1111.92,1266.08,1039.44,1111.92,1266.08
1959-01-01,54.71,-104.29,913.50,1098.21,1213.88,911.48,1098.21,1213.88,911.49,1098.21,1213.88
1960-01-01,54.71,-104.29,1020.55,1175.60,1383.71,1020.24,1175.60,1383.71,1020.13,1175.60,1383.71
1961-01-01,54.71,-104.29,999.50,1194.54,1297.78,999.11,1194.08,1297.78,998.91,1194.20,1297.78
1962-01-01,54.71,-104.29,1017.60,1074.85,1268.99,1016.99,1074.85,1268.99,1004.85,1074.84,1268.99
1963-01-01,54.71,-104.29,945.09,1077.53,1233.08,944.66,1077.53,1233.08,943.93,1076.85,1233.08
1964-01-01,54.71,-104.29,901.08,1050.78,1153.79,901.07,1052.19,1153.79,901.08,1051.95,1153.79
1965-01-01,54.71,-104.29,955.02,1112.45,1245.63,955.37,1112.69,1245.63,955.00,1112.69,1245.62
1966-01-01,54.71,-104.29,910.49,1082.77,1454.06,910.48,1082.76,1454.06,910.48,1082.76,1447.38
1967-01-01,54.71,-104.29,986.93,1094.09,1243.13,986.93,1093.97,1243.13,986.93,1093.79,1225.85
1968-01-01,54.71,-104.29,985.99,1119.61,1238.55,985.99,1119.61,1238.55,985.99,1119.61,1238.55
1969-01-01,54.71,-104.29,853.45,1048.95,1189.80,853.45,1048.95,1189.63,853.46,1048.95,1189.70
1970-01-01,54.71,-104.29,1006.00,1189.74,1329.67,1006.00,1190.16,1329.67,1006.01,1189.39,1328.43
1971-01-01,54.71,-104.29,938.26,1134.68,1379.56,938.26,1134.68,1379.56,938.26,1134.68,1372.08
1972-01-01,54.71,-104.29,958.69,1088.39,1240.65,958.60,1088.39,1240.65,958.57,1077.74,1240.65
1973-01-01,54.71,-104.29,951.09,1141.23,1269.07,950.44,1141.80,1269.07,950.64,1129.11,1269.07
1974-01-01,54.71,-104.29,977.54,1071.58,1280.88,977.54,1071.58,1281.12,977.54,1071.58,1281.05
1975-01-01,54.71,-104.29,989.46,1165.44,1335.44,988.88,1164.80,1335.43,988.31,1164.75,1335.43
1976-01-01,54.71,-104.29,1001.88,1176.05,1320.44,1001.88,1176.05,1319.82,1001.88,1176.05,1320.36
1977-01-01,54.71,-104.29,943.60,1161.64,1312.50,943.60,1162.52,1312.50,943.60,1162.83,1312.50
1978-01-01,54.71,-104.29,1050.97,1165.73,1317.20,1051.19,1165.70,1317.41,1041.28,1165.09,1317.70
1979-01-01,54.71,-104.29,1064.15,1167.37,1342.53,1064.15,1166.89,1342.53,1064.15,1168.11,1342.53
1980-01-01,54.71,-104.29,1026.14,1122.43,1312.20,1025.89,1119.53,1313.33,1025.01,1119.88,1313.38
1981-01-01,54.71,-104.29,976.22,1172.18,1319.49,977.91,1171.87,1319.20,972.22,1172.76,1319.28
1982-01-01,54.71,-104.29,967.00,1141.06,1350.17,966.65,1143.37,1346.92,966.30,1140.66,1347.75
1983-01-01,54.71,-104.29,980.99,1136.95,1292.51,980.51,1137.21,1295.80,979.43,1130.95,1296.14
1984-01-01,54.71,-104.29,1093.34,1239.18,1352.07,1092.02,1238.49,1352.04,1094.94,1238.43,1350.31
1985-01-01,54.71,-104.29,997.30,1188.86,1383.95,996.88,1188.45,1393.93,996.05,1187.92,1387.79
1986-01-01,54.71,-104.29,994.90,1164.17,1319.88,995.23,1163.12,1321.13,994.91,1164.40,1318.71
1987-01-01,54.71,-104.29,1029.77,1143.38,1282.26,1029.96,1144.36,1282.76,1027.97,1146.84,1278.64
1988-01-01,54.71,-104.29,1093.50,1209.09,1355.54,1095.05,1209.34,1355.52,1093.80,1211.56,1355.67
1989-01-01,54.71,-104.29,1081.56,1277.28,1470.38,1081.46,1276.41,1479.19,1081.01,1279.30,1472.02
1990-01-01,54.71,-104.29,1001.34,1190.40,1402.12,1002.61,1192.47,1401.33,1003.10,1192.52,1400.85
1991-01-01,54.71,-104.29,1024.19,1204.86,1386.79,1023.57,1204.05,1387.95,1024.15,1202.73,1386.89
1992-01-01,54.71,-104.29,1018.22,1142.72,1331.00,1017.26,1140.71,1330.14,1020.69,1140.27,1325.69
1993-01-01,54.71,-104.29,1034.58,1168.29,1268.82,1029.44,1168.45,1268.36,1032.81,1168.76,1269.44
1994-01-01,54.71,-104.29,1029.93,1155.73,1432.80,1031.01,1153.78,1432.10,1030.50,1155.44,1431.67
1995-01-01,54.71,-104.29,961.10,1215.65,1317.03,962.36,1215.05,1316.78,962.60,1209.07,1314.45
1996-01-01,54.71,-104.29,1067.46,1221.64,1334.25,1067.21,1220.38,1339.15,1067.41,1220.51,1334.06
1997-01-01,54.71,-104.29,1065.55,1267.17,1390.08,1063.51,1262.86,1390.16,1063.63,1265.46,1384.05
1998-01-01,54.71,-104.29,1141.14,1245.14,1323.21,1142.72,1245.47,1324.07,1136.92,1240.83,1321.37
1999-01-01,54.71,-104.29,1116.21,1184.87,1323.64,1118.49,1183.86,1324.78,1115.69,1184.74,1326.52
2000-01-01,54.71,-104.29,1116.56,1253.53,1418.40,1117.46,1250.68,1419.79,1105.59,1251.95,1421.73
2001-01-01,54.71,-104.29,1084.70,1209.58,1370.26,1083.49,1208.78,1369.49,1083.85,1204.55,1368.25
2002-01-01,54.71,-104.29,1104.99,1285.13,1472.73,1105.64,1288.59,1467.02,1104.54,1283.20,1468.41
2003-01-01,54.71,-104.29,1077.49,1288.38,1426.51,1076.58,1287.33,1430.96,1076.41,1287.48,1425.24
2004-01-01,54.71,-104.29,1094.23,1285.63,1457.17,1094.51,1283.22,1459.27,1093.72,1283.15,1455.68
2005-01-01,54.71,-104.29,1064.07,1240.85,1482.65,1064.28,1242.00,1471.01,1061.39,1240.03,1474.18
2006-01-01,54.71,-104.29,1066.74,1287.89,1449.97,1052.93,1279.16,1490.24,1124.43,1233.63,1498.75
2007-01-01,54.71,-104.29,1073.90,1299.64,1456.88,1104.85,1279.63,1561.04,1095.45,1259.04,1464.61
2008-01-01,54.71,-104.29,1096.51,1236.76,1409.88,1055.07,1275.57,1515.27,1099.37,1244.09,1419.37
2009-01-01,54.71,-104.29,1059.98,1266.23,1411.33,1117.74,1262.53,1545.34,1138.07,1297.70,1602.90
2010-01-01,54.71,-104.29,1114.62,1278.24,1433.08,1050.86,1357.40,1559.13,1107.99,1268.44,1571.57
2011-01-01,54.71,-104.29,1124.73,1282.48,1525.71,1198.73,1377.86,1512.72,1148.54,1259.38,1438.54
2012-01-01,54.71,-104.29,1160.07,1323.78,1493.34,1123.78,1276.21,1505.81,1184.40,1343.26,1538.52
2013-01-01,54.71,-104.29,1131.26,1320.01,1496.35,1110.54,1265.58,1478.02,1172.69,1290.17,1483.76
2014-01-01,54.71,-104.29,1077.70,1321.88,1510.38,1188.72,1337.87,1592.72,1240.08,1377.48,1550.14
2015-01-01,54.71,-104.29,1177.02,1335.68,1458.29,1207.22,1327.18,1606.84,1198.64,1355.98,1601.08
2016-01-01,54.71,-104.29,1153.47,1395.61,1762.40,1128.97,1267.99,1403.45,1227.24,1342.71,1495.92
2017-01-01,54.71,-104.29,1237.99,1421.36,1625.20,1183.29,1394.32,1542.61,1148.77,1338.36,1558.41
2018-01-01,54.71,-104.29,1203.55,1359.83,1554.52,1215.03,1331.62,1596.20,1150.27,1317.63,1498.32
2019-01-01,54.71,-104.29,1120.27,1338.70,1499.45,1177.37,1473.89,1641.87,1236.42,1416.93,1555.42
2020-01-01,54.71,-104.29,1244.91,1354.89,1452.14,1136.27,1281.33,1507.53,1182.14,1409.07,1564.13
2021-01-01,54.71,-104.29,1200.52,1387.98,1574.63,1252.66,1394.24,1699.07,1158.79,1367.35,1564.06
2022-01-01,54.71,-104.29,1188.00,1424.73,1695.39,1208.73,1408.34,1586.63,1225.84,1478.28,1661.65
2023-01-01,54.71,-104.29,1262.57,1431.94,1534.06,1237.91,1384.80,1567.13,1250.52,1455.25,1694.51
2024-01-01,54.71,-104.29,1280.04,1417.59,1687.08,1168.68,1367.55,1575.62,1289.18,1428.73,1540.18
2025-01-01,54.71,-104.29,1251.47,1422.33,1557.35,1161.64,1435.16,1640.40,1268.11,1438.62,1680.82
2026-01-01,54.71,-104.29,1192.42,1374.43,1617.86,1274.11,1449.88,1618.77,1264.27,1445.88,1648.87
2027-01-01,54.71,-104.29,1183.22,1418.28,1649.90,1225.07,1407.04,1625.48,1266.73,1472.87,1744.91
2028-01-01,54.71,-104.29,1208.14,1448.40,1745.28,1216.83,1421.30,1634.42,1242.49,1411.80,1595.13
2029-01-01,54.71,-104.29,1190.86,1392.40,1539.87,1204.74,1423.84,1640.68,1368.54,1428.81,1598.36
2030-01-01,54.71,-104.29,1206.76,1403.76,1659.83,1196.17,1469.53,1705.94,1265.04,1430.06,1617.86
2031-01-01,54.71,-104.29,1198.41,1447.92,1656.97,1229.69,1455.11,1563.74,1215.95,1462.04,1667.85
2032-01-01,54.71,-104.29,1254.41,1422.22,1594.52,1244.48,1382.24,1589.45,1341.98,1445.78,1624.58
2033-01-01,54.71,-104.29,1226.26,1381.93,1580.18,1251.02,1459.19,1827.81,1348.58,1480.13,1724.43
2034-01-01,54.71,-104.29,1271.12,1433.03,1650.50,1312.52,1475.08,1599.38,1258.09,1461.60,1779.66
2035-01-01,54.71,-104.29,1297.55,1414.56,1667.63,1239.80,1472.80,1637.39,1339.96,1519.52,1642.82
2036-01-01,54.71,-104.29,1325.06,1451.89,1709.78,1156.74,1470.44,1649.13,1287.77,1491.14,1625.61
2037-01-01,54.71,-104.29,1269.05,1477.63,1634.56,1148.63,1548.91,1591.28,1364.75,1509.66,1706.81
2038-01-01,54.71,-104.29,1164.74,1375.16,1608.81,1263.04,1485.66,1724.03,1383.68,1562.26,1790.55
2039-01-01,54.71,-104.29,1287.08,1499.07,1649.70,1287.41,1434.34,1629.75,1323.00,1481.50,1735.98
2040-01-01,54.71,-104.29,1194.40,1467.23,1615.16,1284.57,1469.36,1677.90,1300.10,1515.16,1803.84
2041-01-01,54.71,-104.29,1300.14,1573.80,1724.73,1299.90,1522.35,1775.52,1429.46,1615.84,1885.08
2042-01-01,54.71,-104.29,1276.91,1480.71,1764.74,1328.91,1544.92,1696.50,1355.17,1547.91,1781.71
2043-01-01,54.71,-104.29,1286.82,1427.33,1625.72,1347.15,1472.89,1817.90,1374.41,1645.60,1879.35
2044-01-01,54.71,-104.29,1263.73,1390.90,1572.61,1372.09,1505.81,1839.02,1374.51,1546.92,1754.54
2045-01-01,54.71,-104.29,1236.94,1397.06,1629.81,1299.70,1534.42,1704.24,1389.25,1546.72,1752.94
2046-01-01,54.71,-104.29,1293.96,1479.94,1744.23,1293.53,1496.97,1710.31,1341.36,1646.00,1771.17
2047-01-01,54.71,-104.29,1297.99,1545.91,1678.06,1254.21,1533.85,1733.42,1448.90,1650.16,1822.95
2048-01-01,54.71,-104.29,1266.31,1477.67,1686.44,1276.16,1531.76,1787.47,1448.48,1665.58,1933.77
2049-01-01,54.71,-104.29,1314.96,1487.56,1720.56,1287.56,1530.21,1821.65,1466.25,1679.55,1940.02
2050-01-01,54.71,-104.29,1156.74,1507.37,1713.04,1266.13,1502.24,1786.26,1454.85,1663.08,1933.05
2051-01-01,54.71,-104.29,1234.43,1498.68,1705.08,1331.08,1610.81,1781.64,1409.85,1687.91,1934.72
2052-01-01,54.71,-104.29,1315.70,1487.39,1712.32,1371.99,1533.48,1765.30,1393.62,1663.05,1970.97
2053-01-01,54.71,-104.29,1278.66,1506.86,1654.09,1372.15,1566.97,1747.31,1571.15,1792.30,1966.78
2054-01-01,54.71,-104.29,1249.36,1511.57,1692.61,1262.99,1557.79,1735.89,1405.14,1712.23,1962.69
2055-01-01,54.71,-104.29,1231.09,1528.34,1710.95,1238.34,1572.53,1848.53,1527.27,1700.79,2024.27
2056-01-01,54.71,-104.29,1330.71,1475.26,1736.95,1324.07,1531.70,1806.95,1534.34,1723.79,1992.57
2057-01-01,54.71,-104.29,1170.56,1461.46,1694.69,1158.53,1551.62,1868.10,1490.98,1753.39,2021.93
2058-01-01,54.71,-104.29,1234.00,1520.43,1698.04,1381.85,1640.79,1883.41,1601.38,1773.55,2065.97
2059-01-01,54.71,-104.29,1227.66,1436.50,1785.13,1371.04,1613.97,1819.05,1535.74,1791.33,2044.11
2060-01-01,54.71,-104.29,1228.29,1495.80,1723.04,1291.54,1682.66,1951.43,1505.79,1746.34,2119.38
2061-01-01,54.71,-104.29,1241.18,1531.29,1695.63,1427.01,1629.25,1843.92,1469.89,1793.85,2027.54
2062-01-01,54.71,-104.29,1352.02,1529.24,1682.40,1385.11,1589.57,1902.32,1572.48,1824.93,2038.51
2063-01-01,54.71,-104.29,1153.86,1351.97,1600.14,1486.61,1637.17,1811.91,1494.53,1913.41,2198.06
2064-01-01,54.71,-104.29,1333.92,1479.95,1694.99,1379.12,1580.58,1923.23,1514.22,1783.56,2129.25
2065-01-01,54.71,-104.29,1274.68,1464.76,1712.66,1395.96,1566.92,1822.35,1655.04,1812.23,2106.86
2066-01-01,54.71,-104.29,1277.29,1419.34,1663.12,1407.42,1595.43,1869.62,1618.38,1880.49,2253.91
2067-01-01,54.71,-104.29,1172.18,1477.44,1723.38,1404.74,1592.30,1864.30,1688.40,2028.91,2313.26
2068-01-01,54.71,-104.29,1231.44,1518.81,1772.97,1414.25,1577.81,1827.92,1632.84,1914.74,2223.48
2069-01-01,54.71,-104.29,1329.47,1503.44,1694.66,1354.44,1665.45,1880.80,1623.90,1955.79,2108.59
2070-01-01,54.71,-104.29,1272.53,1447.69,1741.95,1483.55,1656.09,1910.60,1567.66,1826.13,2126.84
2071-01-01,54.71,-104.29,1168.47,1443.19,1681.68,1465.10,1686.91,1941.34,1617.43,1942.35,2328.30
2072-01-01,54.71,-104.29,1256.41,1387.34,1729.40,1429.24,1660.60,1898.73,1676.50,1980.61,2334.18
2073-01-01,54.71,-104.29,1228.39,1453.55,1662.42,1364.90,1640.13,1918.15,1741.35,2075.29,2251.41
2074-01-01,54.71,-104.29,1221.67,1409.12,1712.59,1314.11,1636.94,1992.64,1632.20,2051.79,2407.20
2075-01-01,54.71,-104.29,1137.87,1495.68,1732.72,1287.40,1672.45,1847.84,1685.74,2003.53,2510.02
2076-01-01,54.71,-104.29,1299.79,1508.41,1886.81,1310.33,1645.82,1838.63,1631.96,2099.55,2437.45
2077-01-01,54.71,-104.29,1204.02,1400.42,1649.13,1417.78,1656.25,2227.66,1761.28,2091.19,2364.64
2078-01-01,54.71,-104.29,1215.37,1402.52,1718.07,1415.01,1715.22,2010.67,1817.13,2135.62,2344.22
2079-01-01,54.71,-104.29,1306.46,1490.87,1810.01,1419.33,1682.99,1987.34,1772.17,2055.64,2437.50
2080-01-01,54.71,-104.29,1151.36,1481.87,1815.04,1434.06,1699.53,1926.15,1730.35,2095.85,2463.25
2081-01-01,54.71,-104.29,1245.73,1418.15,1742.94,1512.13,1691.29,1838.54,1807.81,2030.22,2520.28
2082-01-01,54.71,-104.29,1365.36,1492.01,1649.09,1351.99,1665.27,1940.46,1833.73,2208.44,2547.51
2083-01-01,54.71,-104.29,1290.06,1475.62,1786.17,1342.41,1654.42,2033.42,1757.04,2203.32,2457.85
2084-01-01,54.71,-104.29,1306.79,1409.29,1689.08,1355.55,1770.46,1940.93,1739.59,2195.22,2377.21
2085-01-01,54.71,-104.29,1194.70,1472.50,1708.31,1445.25,1669.87,1970.12,1730.27,2257.06,2543.52
2086-01-01,54.71,-104.29,1220.86,1523.68,1719.57,1407.06,1649.31,1913.05,1721.27,2160.54,2643.69
2087-01-01,54.71,-104.29,1327.77,1430.41,1802.59,1350.34,1612.76,1870.01,1846.33,2167.80,2479.55
2088-01-01,54.71,-104.29,1370.96,1515.66,1738.25,1376.75,1700.23,1981.47,1831.27,2144.66,2579.61
2089-01-01,54.71,-104.29,1267.89,1539.97,1773.15,1407.74,1671.87,2057.82,1815.47,2231.28,2733.08
2090-01-01,54.71,-104.29,1243.07,1424.60,1727.10,1452.85,1684.87,1963.89,1734.30,2227.30,2565.09
2091-01-01,54.71,-104.29,1257.22,1475.46,1715.86,1438.41,1712.61,1950.07,1905.97,2310.94,2831.35
2092-01-01,54.71,-104.29,1268.94,1439.49,1590.25,1347.21,1752.75,1976.14,1910.96,2261.38,2535.31
2093-01-01,54.71,-104.29,1264.73,1505.22,1674.85,1374.18,1620.55,1835.23,1882.92,2281.42,2687.74
2094-01-01,54.71,-104.29,1179.42,1495.57,1739.78,1375.59,1649.13,2018.39,1960.62,2224.57,2595.79
2095-01-01,54.71,-104.29,1254.59,1415.01,1749.27,1353.01,1706.86,1949.68,1891.11,2220.09,2609.00
2096-01-01,54.71,-104.29,1260.53,1474.09,1670.42,1561.92,1803.43,1950.55,1743.28,2346.56,2672.54
2097-01-01,54.71,-104.29,1261.56,1485.23,1722.67,1426.72,1694.00,2006.58,1970.70,2252.39,2862.79
2098-01-01,54.71,-104.29,1227.30,1489.16,1710.75,1505.43,1698.46,1986.94,1942.24,2493.50,2831.47
2099-01-01,54.71,-104.29,1269.03,1480.72,1640.70,1516.40,1716.29,2012.53,1857.67,2397.37,2925.82
2100-01-01,54.71,-104.29,1203.20,1467.51,1705.64,1400.50,1708.59,2064.82,1939.22,2400.47,2813.07
1950-01-01,54.79,-105.88,1120.05,1292.75,1445.57,1120.36,1292.69,1445.35,1120.35,1292.99,1446.19
1951-01-01,54.79,-105.88,1071.51,1255.83,1487.20,1071.51,1255.83,1487.20,1071.51,1256.16,1487.20
1952-01-01,54.79,-105.88,1078.29,1259.49,1555.35,1078.29,1259.54,1555.54,1078.29,1259.25,1555.22
1953-01-01,54.79,-105.88,1028.49,1194.64,1402.32,1028.51,1194.37,1402.32,1028.81,1194.61,1393.79
1954-01-01,54.79,-105.88,1083.20,1251.07,1505.25,1083.24,1251.08,1504.98,1083.11,1251.08,1496.85
1955-01-01,54.79,-105.88,1113.14,1228.09,1471.77,1113.67,1228.09,1471.77,1113.66,1228.09,1464.06
1956-01-01,54.79,-105.88,984.09,1281.19,1459.57,984.08,1280.52,1459.57,984.08,1280.88,1459.57
1957-01-01,54.79,-105.88,1036.74,1241.82,1408.68,1035.46,1241.06,1408.68,1033.82,1240.64,1408.68
1958-01-01,54.79,-105.88,1115.28,1209.15,1387.06,1115.28,1209.65,1387.06,1115.28,1207.66,1387.06
1959-01-01,54.79,-105.88,1011.33,1206.04,1339.63,1011.17,1206.04,1339.63,1011.16,1206.05,1339.63
1960-01-01,54.79,-105.88,1112.78,1281.94,1489.71,1112.62,1281.94,1489.71,1112.40,1281.94,1489.71
1961-01-01,54.79,-105.88,1105.42,1299.27,1406.48,1105.84,1299.05,1406.48,1105.49,1298.64,1406.48
1962-01-01,54.79,-105.88,1117.18,1194.10,1390.64,1117.18,1194.10,1390.64,1097.72,1194.10,1390.64
1963-01-01,54.79,-105.88,1027.97,1189.00,1358.40,1027.75,1188.89,1358.40,1027.52,1185.47,1358.40
1964-01-01,54.79,-105.88,1003.21,1160.00,1271.42,1003.18,1161.18,1272.02,1002.93,1161.69,1271.84
1965-01-01,54.79,-105.88,1059.29,1201.22,1355.08,1059.42,1201.22,1355.08,1059.38,1201.22,1355.08
